month,trades,pnl,win_rate,avg_edge
2026-06,1860,14666.652,0.5440860215053763,0.05128562609615741
2026-07,2584,32169.493999999995,0.5913312693498453,0.05258878473326996
2026-08,626,-1929.590000000001,0.549520766773163,0.05550348262986251
