tau_min,trades,pnl,win_rate,avg_edge
1,716,24463.93,0.8184357541899442,0.05142255647344728
2,453,6974.199999999999,0.7373068432671082,0.043981488987398946
3,280,-2317.630000000001,0.6,0.04450652333783958
4,284,-77.53000000000071,0.5528169014084507,0.04297136530299084
5,329,789.9099999999981,0.5562310030395137,0.042867875694637965
6,335,5689.849999999999,0.5850746268656717,0.04258563377578285
7,415,3730.7999999999993,0.5807228915662651,0.04304509711855653
8,476,4389.19,0.592436974789916,0.042411929049177725
9,588,-6609.520000000001,0.5306122448979592,0.043754617555413176
10,794,5007.7199999999975,0.5692695214105793,0.04495096894530674
11,1009,-963.1400000000019,0.5728444003964321,0.044711918748532926
12,1308,-1398.850000000003,0.5626911314984709,0.04518431032359881
13,1944,7275.979999999996,0.551440329218107,0.04678024813321312
14,4128,59573.76999999999,0.5411821705426356,0.053205098300690805
