week,trades,pnl,per_contract
24,554.0,3789.832,0.01690199086627658
25,589.0,1042.5499999999984,0.004320340472085923
26,555.0,4585.339999999999,0.017046950922549004
27,561.0,4697.189999999999,0.016764601959419666
28,589.0,7015.583999999996,0.023836748007257443
29,597.0,9206.969999999998,0.030844120603015068
30,586.0,5929.179999999999,0.020236109215017062
31,596.0,8397.349999999997,0.028179026845637573
32,443.0,242.56000000000108,0.0010950790067720138
