edge_bucket,trades,pnl,win_rate,avg_edge
"(-1.0, 0.04]",5753,22277.99999999998,0.5795237267512602,0.034633265933106214
"(0.04, 0.06]",4967,39890.52999999999,0.5755989530903967,0.04813609141208898
"(0.06, 0.09]",1868,35903.31,0.5813704496788008,0.07106167940078227
"(0.09, 0.15]",443,7284.909999999998,0.5417607223476298,0.1074380440217203
"(0.15, 1.0]",28,1171.9299999999998,0.42857142857142855,0.1914140049849696
