hour,trades,pnl,win_rate,avg_edge
0,222,4116.52,0.5945945945945946,0.05289319857791339
1,207,1368.7800000000002,0.5603864734299517,0.051938403281375285
2,214,1690.5999999999997,0.5373831775700935,0.05124687113759247
3,216,3550.2599999999998,0.5601851851851852,0.04944655704069247
4,226,4810.45,0.6017699115044248,0.0525026881387363
5,225,1296.9999999999995,0.5866666666666667,0.05380548172223798
6,220,-2930.76,0.5681818181818182,0.05269852425492606
7,191,4477.12,0.6230366492146597,0.05601987821563568
8,192,4117.959999999999,0.609375,0.057149451620047705
9,199,4239.7300000000005,0.5979899497487438,0.05431476763772194
10,210,1142.1299999999997,0.580952380952381,0.052538420044478
11,210,-1756.67,0.5285714285714286,0.052197117889778315
12,214,886.1599999999996,0.5607476635514018,0.05408445645338583
13,222,-4330.236000000001,0.536036036036036,0.05557295488884501
14,198,-251.43000000000052,0.5151515151515151,0.05033910497515266
15,200,373.67999999999984,0.51,0.05116401267726168
16,195,6510.25,0.5743589743589743,0.048845481470163606
17,206,-218.51000000000045,0.529126213592233,0.04789728878149553
18,203,2910.45,0.5763546798029556,0.049833357991322394
19,218,1158.1299999999999,0.5504587155963303,0.05196838050148985
20,219,8436.84,0.6484018264840182,0.05128508272644656
21,220,-745.6899999999998,0.5863636363636363,0.05582030067649592
22,228,-431.8680000000002,0.5482456140350878,0.05493433635746043
23,215,4485.66,0.5674418604651162,0.050506031392218195
