hour,trades,pnl,win_rate,avg_edge
0,590,8399.34,0.5779661016949152,0.048630895782301904
1,525,5996.109999999999,0.5828571428571429,0.0476524719734594
2,537,3541.269999999999,0.5679702048417132,0.047286256535665996
3,525,3171.3899999999985,0.5752380952380952,0.045882311837553764
4,520,9080.56,0.6115384615384616,0.048335916178349266
5,525,2700.8599999999988,0.5904761904761905,0.047822881843185346
6,526,-2086.5600000000018,0.5760456273764258,0.047635267792517914
7,526,9227.079999999998,0.6064638783269962,0.047646888123851844
8,536,8420.519999999999,0.5970149253731343,0.049007340239270634
9,539,2775.069999999999,0.5695732838589982,0.04875601921472937
10,553,5422.139999999999,0.5804701627486437,0.04737165444936034
11,543,3025.139999999999,0.5543278084714549,0.04758787776085607
12,535,9955.609999999999,0.5887850467289719,0.04830014759110084
13,544,-760.2800000000022,0.5496323529411765,0.049797995444907255
14,569,3672.069999999998,0.5553602811950791,0.04808980605036312
15,570,3360.499999999998,0.5561403508771929,0.04834269498229444
16,538,-327.2500000000008,0.5483271375464684,0.04558325324277511
17,543,-753.5700000000012,0.570902394106814,0.046576375588413856
18,542,3772.2499999999977,0.5756457564575646,0.04762016912697541
19,523,4949.529999999999,0.5850860420650096,0.04694188423139475
20,531,12613.849999999999,0.6365348399246704,0.04656623060114333
21,546,275.1999999999993,0.5732600732600732,0.04816802658494712
22,581,9145.879999999997,0.576592082616179,0.04902091945931955
23,592,951.9699999999988,0.543918918918919,0.047918639441848765
